Dis No,Hazard  Group,Hazard Type,Specific Hazard Name,Hazard Type Final,ISO,Data Source Type,Source Level,Source Origin,Reliability Rating,Start Year,Start Month,Start Day,End Year,End Month,End Day,Event Season,Data Entry Date,Data Last Updated,Magnitude,Magnitude Scale,Region,Country,Total Deaths,No. Affected,Location,Total Economic Loss,No. Houses Damaged/Destroyed,No. Houses Damaged,No. Houses Destroyed,No. Infrastucture Destroyed/Damaged,Gender Data Availability,No.Gender Female,No.Gender Male,No. Gender Other,No. Children,No. Disabled Population,Glide Number,Source Website,Complimentry Resources,
MET-20240814-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,8,14,2024,0,0,Summer,28/12/2025,1/29/2026,100,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Sjenica,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Novom Pazaru,
MET-20240409-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,4,9,2024,0,0,Spring,28/12/2025,1/29/2026,55,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Sjenica,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Novom Pazaru,
MET-20240817-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,8,17,2024,0,0,Summer,28/12/2025,1/29/2026,N/A,N/A,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Pirot,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Pirotu,
MET-20240809-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,8,9,2024,0,0,Summer,28/12/2025,1/29/2026,150,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Pirot,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Pirotu,
MET-20240813-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,8,13,2024,0,0,Summer,28/12/2025,1/29/2026,45,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Bela Palanka,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Pirotu,
MET-20240809-WBTC-SRB-0002,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,8,9,2024,0,0,Summer,28/12/2025,1/29/2026,190,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Pirot,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Pirotu,"Požr suve trave, niskog rastinja, listopadne i četinarske šume na oko 190ha."
MET-20240401-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,4,1,2024,0,0,Spring,28/12/2025,1/29/2026,100,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Pirot,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Pirotu,
MET-20240712-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,7,12,2024,0,0,Summer,28/12/2025,1/29/2026,10,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Kruševac-Grad,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Kruševcu,
MET-20240812-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,8,12,2024,0,0,Summer,28/12/2025,1/29/2026,150,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Brus,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Kruševcu,
MET-20240401-WBTC-SRB-0002,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,4,1,2024,0,0,Spring,28/12/2025,1/29/2026,35,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Lučani,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Čačku,
MET-20240802-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,8,2,2024,0,0,Summer,28/12/2025,1/29/2026,63,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Prokuplje,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Prokuplju,Požar je prizemno prošao kroz 60 ha listopadne šume i 3ha četinarske šume.
MET-20240727-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,7,27,2024,0,0,Summer,28/12/2025,1/29/2026,15,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Kuršumlija,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Prokuplju,
MET-20240405-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,4,5,2024,0,0,Spring,28/12/2025,1/29/2026,10,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Prijepolje,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Prijepolju,
MET-20240324-WBTC-SRB-0001,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,3,24,2024,0,0,Spring,28/12/2025,1/29/2026,12,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Prijepolje,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Prijepolju,
MET-20240415-WBTC-SRB-0002,MeteorologicalHazards,Fires,ForestFires,fire,SRB,1,1,Desinventar,Very High,2024,4,15,2024,0,0,Spring,28/12/2025,1/29/2026,10,Hectar,Western Balkans & Türkiye & Cyprus,Serbia,N/A,N/A,Prijepolje,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.desinventar.net/,OVS u Prijepolju,
